run_dir	provider	model	schema	rules_mode	competition	problem_id	score	max_score	accuracy_pct	Communication	Planning	CS	turns_used	max_turns	api_calls	tokens	elapsed_sec	wrong_subs	submitted	graded	status
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	purple_comet	purple_comet_ms_2018	1.0	20.0	5.0	4.0	3.0	3.5	19	30	219	24868	560.8	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	purple_comet	purple_comet_hs_2019	3.0	30.0	10.0	3.0	4.0	3.5	18	30	207	21742	490.0	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	purple_comet	purple_comet_ms_2019	3.0	20.0	15.0	3.0	2.0	2.5	21	30	243	25743	597.4	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	purple_comet	purple_comet_hs_2020	5.0	30.0	16.67	4.0	4.0	4.0	19	30	219	23036	517.5	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	purple_comet	purple_comet_ms_2020	4.0	20.0	20.0	3.0	3.0	3.0	15	30	171	17055	394.4	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	purple_comet	purple_comet_hs_2021	4.0	30.0	13.33	3.0	3.0	3.0	20	30	231	22683	550.9	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	purple_comet	purple_comet_ms_2021	5.0	20.0	25.0	3.0	3.0	3.0	24	30	279	29740	681.8	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	purple_comet	purple_comet_hs_2022	3.0	30.0	10.0	3.0	3.0	3.0	18	30	207	19416	454.2	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	purple_comet	purple_comet_ms_2022	5.0	20.0	25.0	4.0	3.0	3.5	16	30	183	16673	403.4	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	purple_comet	purple_comet_hs_2023	2.0	30.0	6.67	4.0	3.0	3.5	20	30	231	23706	538.9	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	purple_comet	purple_comet_ms_2023	3.0	20.0	15.0	4.0	4.0	4.0	17	30	195	22480	482.6	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	purple_comet	purple_comet_hs_2024	4.0	30.0	13.33	4.0	4.0	4.0	19	30	219	21866	513.6	0	True	True	ok
task_based_structured_gold_perplexity_20260829	perplexity	openai/gpt-5.4-mini	open_table_coach	enforced	purple_comet	purple_comet_ms_2024	5.0	20.0	25.0	3.0	3.0	3.0	21	30	243	25783	601.3	0	True	True	ok
task_based_structured_gold_tinker_qwen35_35b_base_20260831	tinker	Qwen/Qwen3.5-35B-A3B-Base	open_table_coach	enforced	arml_local	arml_local_2009	22.22	40.0	55.56	3.0	2.0	2.5	27	30	315	208911	3128.5	0	True	True	ok
task_based_structured_gold_tinker_qwen35_35b_base_20260831	tinker	Qwen/Qwen3.5-35B-A3B-Base	open_table_coach	enforced	arml_local	arml_local_2010	20.0	40.0	50.0	2.0	2.0	2.0	14	30	159	472768	5787.8	0	True	True	ok
task_based_structured_gold_tinker_qwen35_35b_base_20260831	tinker	Qwen/Qwen3.5-35B-A3B-Base	open_table_coach	enforced	arml_local	arml_local_2011	30.0	40.0	75.0	2.0	2.0	2.0	13	30	147	262180	3620.9	0	True	True	ok
task_based_structured_gold_tinker_qwen35_35b_base_20260831	tinker	Qwen/Qwen3.5-35B-A3B-Base	open_table_coach	enforced	arml_local	arml_local_2012	31.11	40.0	77.78	4.0	2.0	3.0	30	30	351	307093	5592.0	0	True	True	ok
task_based_structured_gold_tinker_qwen35_35b_base_20260831	tinker	Qwen/Qwen3.5-35B-A3B-Base	open_table_coach	enforced	arml_local	arml_local_2013	20.0	40.0	50.0	4.0	2.0	3.0	16	30	183	128370	2335.0	0	True	True	ok
task_based_structured_gold_tinker_qwen35_35b_base_20260831	tinker	Qwen/Qwen3.5-35B-A3B-Base	open_table_coach	enforced	arml_local	arml_local_2014	30.0	60.0	50.0	3.0	2.0	2.5	11	30	123	304507	6440.2	0	True	True	ok
task_based_structured_gold_tinker_qwen35_35b_base_20260831	tinker	Qwen/Qwen3.5-35B-A3B-Base	open_table_coach	enforced	arml_national_team	arml_national_team_2009	50.0	50.0	100.0	5.0	2.0	3.5	11	30	303	731615	10303.6	0	True	True	ok
task_based_structured_gold_tinker_qwen35_35b_base_20260831	tinker	Qwen/Qwen3.5-35B-A3B-Base	open_table_coach	enforced	arml_national_team	arml_national_team_2010	35.0	50.0	70.0	3.0	1.0	2.0	12	30	333	914173	11249.7	0	True	True	ok
task_based_structured_gold_tinker_qwen35_35b_base_20260831	tinker	Qwen/Qwen3.5-35B-A3B-Base	open_table_coach	enforced	arml_national_team	arml_national_team_2011	45.0	50.0	90.0	4.0	2.0	3.0	22	30	633	1120623	17150.9	0	True	True	ok
task_based_structured_gold_tinker_qwen35_35b_base_20260831	tinker	Qwen/Qwen3.5-35B-A3B-Base	open_table_coach	enforced	arml_national_team	arml_national_team_2012	35.0	50.0	70.0	3.0	1.0	2.0	10	30	273	914875	11502.6	0	True	True	ok
task_based_structured_gold_tinker_qwen35_35b_base_20260831	tinker	Qwen/Qwen3.5-35B-A3B-Base	open_table_coach	enforced	arml_national_team	arml_national_team_2013	45.0	50.0	90.0	4.0	2.0	3.0	10	30	273	393241	9584.5	0	True	True	ok
task_based_structured_gold_tinker_qwen35_35b_base_20260831	tinker	Qwen/Qwen3.5-35B-A3B-Base	open_table_coach	enforced	arml_national_team	arml_national_team_2014	40.0	50.0	80.0	1.0	1.0	1.0	10	30	273	738585	8128.9	0	True	True	error
task_based_structured_gold_tinker_qwen35_35b_base_20260831	tinker	Qwen/Qwen3.5-35B-A3B-Base	open_table_coach	enforced	arml_national_team	arml_national_team_2016	5.56	50.0	11.11	4.0	2.0	3.0	24	30	693	881668	15830.7	0	True	True	error
task_based_structured_gold_tinker_qwen35_35b_base_20260831	tinker	Qwen/Qwen3.5-35B-A3B-Base	open_table_coach	enforced	arml_national_team	arml_national_team_2017	10.0	50.0	20.0	4.0	2.0	3.0	16	30	453	835790	14930.8	0	True	True	error
